n,p,KL Divergence,Jensen-Shannon Divergence,Wasserstein Distance
100,0.08,0.001696633307970069,0.020881460481989154,0.09135256634119154
100,0.09,0.0021627983799836353,0.02361324315923998,0.10942430874498688
100,0.1,0.0026895689239456767,0.026373271759561633,0.12862447158187346
100,0.11,0.0032783018663122363,0.029161936790846325,0.14890968988510275
100,0.12,0.003930400222193008,0.0319796386769101,0.17024380016437798
100,0.13,0.004647315206546916,0.03482678839942333,0.1925963070469054
100,0.14,0.005430548467669983,0.0377038081680414,0.21594127988378714
100,0.15,0.006281654451569597,0.04061113212018783,0.24025653651703127
100,0.16,0.007202242906545678,0.043549207052111454,0.26552302544084283
100,0.17,0.008193981538071063,0.04651849318301738,0.29172434901124267
100,0.18,0.009258598824926564,0.04951946495428816,0.3188463894294721
100,0.19,0.010397887008494163,0.052552611866028574,0.3468770112298961
100,0.2,0.011613705268135145,0.05561843935335285,0.37580582180101774
100,0.21,0.012907983096739226,0.0587174697051617,0.405623976675505
100,0.22,0.014282723891775742,0.06185024302835266,0.4363240198840355
100,0.23,0.015740008778570222,0.06501731826076886,0.4678997521559959
100,0.24,0.01728200068406678,0.06821927423648856,0.5003461215208334
100,0.25,0.018910948681029643,0.0714567108074542,0.5336591321468964
100,0.26,0.02062919262452126,0.07473025002580357,0.5678357681991146
100,0.27,0.02243916810457404,0.07804053739175185,0.6028739302023004
100,0.28,0.024343411741290122,0.0813882431723072,0.638772381929676
100,0.29,0.026344566851185525,0.08477406379668798,0.675530706246122
100,0.3,0.028445389516450554,0.08819872333484274,0.7131492686515015
100,0.31,0.03064875509201314,0.09166297506617516,0.7516291875194419
100,0.32,0.03295766518884638,0.09516760314623045,0.7909723102229818
100,0.33,0.03537525517598372,0.09871342437994926,0.8311811944978716
100,0.34,0.037904802248171304,0.10230129011093575,0.8722590945224439
100,0.35000000000000003,0.04054973411111312,0.1059320882371694,0.9142099512983194
100,0.36,0.0433136383419457,0.10960674536469409,0.9570383870051589
100,0.37,0.046200272488916394,0.11332622911202064,1.000749703076153
100,0.38,0.049213574981460284,0.11709155057934517,1.0453498818054765
100,0.39,0.05235767692997294,0.12090376699822555,1.0908455913546051
100,0.4,0.05563691490380035,0.12476398457906397,1.1372441940741906
100,0.41000000000000003,0.05905584478640571,0.12867336157571155,1.1845537581039223
100,0.42,0.06261925681854841,0.1326331115886702,1.232783072254367
100,0.43,0.06633219195385769,0.13664450713088652,1.281941664216164
100,0.44,0.07019995966660966,0.14070888348290278,1.3320398221790763
100,0.45,0.07422815736916452,0.14482764286729474,1.3830886199812
100,0.46,0.07842269161666361,0.14900225897583222,1.4350999459413423
100,0.47000000000000003,0.08278980129944294,0.15323428188650862,1.4880865355492954
100,0.48,0.08733608304941576,0.15752534341135468,1.5420620081845926
100,0.49,0.09206851911497443,0.16187716291896695,1.5970409079692252
100,0.5,0.09699450798858807,0.16629155367656454,1.6530387486593972
100,0.51,0.10212189809922212,0.1707704297523327,1.7100720620123118
100,0.52,0.10745902490139647,0.17531581350450326,1.7681584480721089
100,0.53,0.11301475169177781,0.17992984365003334,1.8273166238815004
100,0.54,0.11879851444073788,0.18461478383820512,1.887566463560816
100,0.55,0.12482037080366973,0.18937303153035745,1.9489290164837325
100,0.56,0.13109105321830591,0.19420712677435495,2.0114264800051362
100,0.5700000000000001,0.1376220255167353,0.1991197601189083,2.0750820870696343
100,0.58,0.14442554167098678,0.20411377838767614,2.1399198450432038
100,0.59,0.15151470400696912,0.2091921862730582,2.2059640284307207
100,0.6,0.15890351630182611,0.21435814067048775,2.2732382837872054
100,0.61,0.16660692446793307,0.21961493333963533,2.3417641509684604
100,0.62,0.17464083391126228,0.22496595588544716,2.411558744867786
100,0.63,0.18302208812569218,0.2304146393171331,2.4826312843336518
100,0.64,0.19176838781961672,0.2359643587930049,2.554978113854666
100,0.65,0.20089812429714202,0.24161829294373985,2.628575858263087
100,0.66,0.21043009569016508,0.2473792268554605,2.703372405032698
100,0.67,0.22038307107534744,0.25324928893662374,2.779275548044326
100,0.68,0.23077516695442854,0.2592296150407389,2.856139372549703
100,0.6900000000000001,0.2416230046767538,0.2653199388046227,2.9337488243458822
100,0.7000000000000001,0.252940627770396,0.2715181153596452,3.01180337915126
100,0.71,0.2647381761139885,0.27781959614111934,3.0899012775318533
100,0.72,0.27702033999469344,0.2842168847032434,3.1675263538420846
100,0.73,0.28978465083591437,0.29069901595941655,3.2440399747961726
100,0.74,0.3030197048678842,0.2972511124152997,3.3186809078030906
100,0.75,0.3167034580039009,0.303854078910469,3.3905759560810655
100,0.76,0.33080177034328573,0.31048450055833393,3.4587638484676138
100,0.77,0.34526741231804925,0.31711480611543985,3.5222341314352765
100,0.78,0.36003976742503613,0.3237137511919917,3.5799817271730903
100,0.79,0.37504547649345293,0.3302472641910283,3.6310765226531903
100,0.8,0.3902002664214116,0.336679685704977,3.6747460354215744
100,0.81,0.4054121974578939,0.34297542362571,3.7134551551778032
100,0.8200000000000001,0.42058655795891114,0.3491010468235052,3.747401046982025
100,0.8300000000000001,0.43563265155669073,0.35502785657468566,3.775294346592783
100,0.84,0.4504727867069208,0.3607350162768091,3.798292718190551
100,0.85,0.46505394007645534,0.366213402570971,3.8182386820338894
